Аnthroponym in English,Original + transcription,Source ,Century,Historical source,Hagiographical source,Literature,Commentaries
Movses Manazkertetsi,Մովսէս Մանազկերտեցի [Movsēs Manazkertecʿi],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 264, 265.",The Catholicos of the Armenian Apostolic Church.
Mush Dimaksyan,Մուշ Դիմաքսեան [Muš Dimakʿsean],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 152, 153.","A sepuh, a participant of the uprising of Vardan Mamikonyan, died during the uprising."
Mushe Aghbakatsi,Մուշէ Աղբակացի [Mušē Ałbakacʿi],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 178, 179, 204, 205, 238, 239, 242, 243, 384, 385.",The priest of the House of Artsruni from Aghbak was captured and beheaded by order of the Sassanid king Yazdegerd.
Mushe,Մուշէ [Mušē],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 100, 101.","The bishop of the House of Artsruni, a participant of the Council of Artashat (449)."
Mushegh Mamikonyan,Մուշեղ Մամիկոնեան [Mušeł Mamikonean],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 204, 205, 348, 349, 360-363, 368, 369.","The nakharar from the Mamikonyan family, was captured by order of the Sassanid king Yazdegerd. A sepuh, a participant of the uprising of Vahan Mamikonyan."
"Mushe, bishop of Syunik",Մուշէ [Mušē],Laz.Parp_Letter to Vahan Mam.,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 452, 453, 513.",The bishop of Syunik.
Mushe of Taron,Մուշէ՝ ի Տարօնոյ [Mušē՝ i Tarawnoy],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 34, 35.","A priest from Taron, who had a command of Greek language and helped Mesrop Mashtots to put letters of the Armenian alphabet in order according to the type of Greek."
Mushkan Nyusalavurt,Մուշկան Նիւսալաւուրտ [Muškan Niwsalawurt],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 162, 163, 170-173.",A Sasanian commander.
Yazd Syuni,Յազդ Սիւնի [Yazd Siwni],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 328, 329, 338-343.","A sepuh from the Syuni family, the holy martyr, was beheaded on the 16th of the month Hori near the chapel of Gregory the Illuminator in the Bagavan village (Bagrevand region), at the slope of Mount Npat. He was buried in the same chapel."
Yashkur Artsruni,Յաշկուր Արծրունի [Yaškur Arcruni],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 392, 393.",one of the members of the delegation sent by Vahan Mamikonyan to the Persian commander Nikhor for peace negotiations.
Yazat-Vshnasp,"Յըզատվշնասպ, Յըզատ-Վշնասպ [Yəzatvšnasp, Yəzat-Všnasp]",Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 258-261, 356, 357.","The foster brother of the Sassanid king Peroz. By order of Peroz, he informed the Armenian princes of the release from captivity and the payments in Hrev."
Nestorius,Նեստոր Անտիոքացի [Nestor Antiokʿacʿi],Laz.Parp_Letter to Vahan Mam.,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 462, 463.","Archbishop of Constantinople, one of the greatest representatives of the Catechetical School of Antioch, the founder of the Nestorianism, convicted at the Council of Ephesus (431)."
Nershapuh Artsruni,Ներշապուհ Արծրունի [Neršapuh Arcruni],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 100, 101, 108, 109, 176-179, 186, 187, 204, 205.","The prince from the Artsruni family, a participant of the Council of Artashat (449). He was captivated and taken to the possessions of the Sassanid king Yazdegerd."
Nerseh Yervanduni,Ներսեհ Երուանդունի [Nerseh Eruanduni],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 308-311.",The prince from the Yervanduni family.
Nerseh Kamsarakan,Ներսեհ Կամսարական [Nerseh Kamsarakan],"Laz.Parp_Hist.Arm
Laz.Parp_Letter to Vahan Mam.",5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 296, 297, 300-305, 314-317, 326, 327, 338, 339, 352, 353, 358-363, 398, 399, 452, 453, 468, 469.","The owner of Shirak from the Kamsarakan family, the son of Arshavir and the brother of Hrahat. A participant of the uprising of Vahan Mamikonyan."
Nerseh Kajberuni,Ներսէh Քաջբերունի [Nersēh Kʿaǰberuni],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 170, 171.","A participant of the uprising of Vardan Mamikonyan, died with Vardan."
Nerses I the Great,Ներսէս Պարթև [Nersēs Partʿew],"Laz.Parp_Hist.Arm
Laz.Parp_Letter to Vahan Mam.",5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 26, 27, 44, 45, 52, 53, 58, 59, 484, 485, 490.","The Catholicos of All Armenians (353-373), a descendant of the Gregory the Illuminator, the son of Athenogenes and Bambish."
Nerseh of Urtsa,Ներսէh [Nersēh],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 156, 157.","Prince of Urts (gavar in the Ayrarat province), who took the side of the Persians, following Vasak Syuni."
Ners Hovsepyan,Ներս Յովսեպեան [Ners Yovsepean],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 372, 373.","A participant of the uprising of Vahan Mamikonyan, died during the uprising."
Nersshapuh,Ներսշապուհ [Nersšapuh],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 398, 399.",The brother of the Persian commander Mihran.
Nikhor Vshnaspdat,Նիխոր Վշնասպդատ [Nixor Všnaspdat],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 386-389, 392-401, 404, 405, 408-415, 418-421.","A Sassanian official, conducted peaceful negotiations with Vahan Mamikonyan."
Shamuel,Շամուէլ [Šamuēl],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 60, 61.","Syrian, was appointed Catholicos of Armenia by order the Sassanid king Vram."
Shapur I,Շապուհ [Šapuh],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 18, 19, 26-29, 40, 41, 44, 45.",The second Sasanian King of Kings of Iran.
Shapur,Շապուհ [Šapuh],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 42, 43.","The king of Armenia, the son of the Sassanid king Yazdegerd I."
Shapur,Շապուհ [Šapuh],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 388-389, 392-395.",The Sassanid secretary sent by Nikhor to Vahan Mamikonyan for peace negotiations.
Shapur,Շապուհ [Šapuh],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 354-375, 378-381, 384, 385.",The marzpan of Armenia from the House of Mihran.
Shavasp Artstruni,Շաւասպ Արծրունի [Šawasp Arcruni],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 204, 205.","The nakharar from the Artsruni family, captivated by order of the Sassanid king Yazdegerd."
Shmavon Andzevatsi,Շմաւոն Անձևացի [Šmawon Anjewacʿi],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 100, 101, 108, 109, 176, 177, 204, 205.","A nakharar, a participant of the Council of Artashat (449). He was captivated by order of the Sassanid king Yazdegerd."
Shngin Artsruni,Շնգին Արծրունի [Šngin Arcruni],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 204, 205.","The nakharar from the Artsruni family, captivated by order of the Sassanid king Yazdegerd."
Vordi Dimaksyan,Որդի Դիմաքսեան [Ordi Dimakʿsean],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 350, 351.","The nakharar from the Dimaksean family, who died during the uprising of Vahan Mamikonyan."
Pachok,Պաճոկ [Pačok],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 392, 393.",Someone from the detachment of mardpet. One of the members of the delegation sent by Vahan Mamikonyan to the Persian commander Nikhor to conclude a peace treaty.
Pap Arshakuni,Պապ [Pap],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 6, 7.",The king of the Great Armenia from the Arshakuni family.
Pargev Artstruni,Պարգև Արծրունի [Pargew Arcruni],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 204, 205.","Nakharar from the Artsruni family, captivated by order of the Sassanid king Yazdegerd."
Pap Artakuni,Պապ Արտակունի [Pap Artakuni],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 314, 315.","The son of Babots, a participant of the uprising of Vahan Mamikonyan."
Petros Yerkat (the Iron),Պետրոս Երկաթ [Petros Erkatʿ],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 158, 159.","A priest from Syunik, who followed Vasak Syuni."
Peroz I,Պերոզ [Peroz],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 258, 259, 264, 265, 268-273, 282-287, 354, 355, 374-383, 388, 389, 394, 395, 402-405, 408, 409, 414, 415, 418-423.",The Sasanian shahanshah (King of Kings) of Iran (459-484).
Pontius Pilate,Պիղատոս [Piłatos],"Laz.Parp_Hist.Arm
Laz.Parp_Letter to Vahan Mam.",5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 238, 239, 454, 455.",Pontius Pilate
Platos,Պղատոս [Płatos],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 34, 35.","A pagan orator in Edessa, an ishkhan of a local diwan."
Jnikan,Ջնիկան [J̌nikan],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 208, 209, 232, 233, 244-247.",A Sasanian royal maypet.
Sahak Bagratuni,Սահակ Բագրատունի [Sahak Bagratuni],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 294-297, 304, 305, 312-315, 324, 325, 340, 341.",The aspet and the marzpan of Armenia.
Sahak Kamsarakan,Սահակ Կամսարական [Sahak Kamsarakan],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 392, 393.","The son of Arshavir, was One of the members of the delegation sent by Vahan Mamikonyan to the Persian commander Nikhor to conclude a peace treaty."
Sahak Dzaynogh,Սահակ Ձայնող [Sahak Jaynoł],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 158, 159.","A priest from Syunik, who followed Vasak Syuni."
Sahak Mandakuni,Սահակ Մանդակունի [Sahak Mandakuni],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 204, 205.","The prince from the Mandakuni family, captivated by order of the Sassanid king Yazdegerd."
"Isaac the Great, St.",Սահակ Պարթև [Sahak Partʿew],"Laz.Parp_Hist.Arm
Laz.Parp_Letter to Vahan Mam.",5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 30-41, 44-47, 52-57, 60-63, 66, 67, 72, 73, 82-85, 120, 121, 130, 131, 484, 485.","The Catholicos of All Armenians (389-438), a descendant of the Gregory the Illuminator, the son of Athenogenes and Bambish."
"Sahak, bishop of Rshtunik",Սահակ [Sahak],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 100, 101, 178, 179, 184-189, 192, 193, 204, 205, 218, 219, 232, 233, 236-243.","The holy martyr, the bishop of Rshtunik, a participant of the Council of Artashat (449), was captivated by order of the Sassanid king Yazdegerd and beheaded by the Persians."
"Sahak, bishop of Taron",Սահակ [Sahak],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 100, 101.","The bishop from Taron, a participant of the Council of Artashat (449)."
Samuel,Սամուէլ [Samuēl],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 177, 178, 182-185, 204, 205, 208, 209.","The holy martyr, a priest from the Aratso village (according to Eghishe, in the Ayrarat). By order of the Sassanid king Yazdegerd, he and deacon Abraham were executed in the Vardges region (in Bactria, to the east of Khorasan, near Bahl-Shahastan; J. Markwart specified the name of the region: Vatges or Vadges) due to the fact that they allegedly extinguished fire in Artashat with water."
Sasan,Սասան Ստահրացի [Sasan Stahracʿi],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 6-9.","The Supreme Priest of the Anahita Temple in the city of Istakhr, the grandfather of Artashir I, the eponym of the Sasanian dynasty."
Sato Dimaksyan,Սատոյ Դիմաքսեան [Satoy Dimakʿsean],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 204, 205.","The nakharar from the Dimaksean family, captivated by order of the Sassanid king Yazdegerd."
Saton Gabeghyan,Սատոն Գաբեղեան [Saton Gabełean],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 324, 325.",One of the commanders of the right wing of the troops of Vahan Mamikonyan.
Sebukht Nikhorakan,Սեբուխտ Նիխորական [Sebuxt Nixorakan],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 150, 151.",A Sasanian official.
Sevuk Andzevatsi,Սևուկ Անձևացի [Sewuk Anjewacʿi],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 308-311.",An ishkhan from Andzevatsik.
